model,condition,item_id,a,b,modal_stance,n_modal,n_total
qwen/qwen-2.5-72b-instruct,C1_renamed,SP01,values,abilities,A,3,3
qwen/qwen-2.5-72b-instruct,C2_character,SP01,values,abilities,A,2,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP01,values,abilities,B,3,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP01,values,abilities,A,3,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,C0_default,SP02,values_version,manner_version,A,3,3
anthropic/claude-opus-5,C1_renamed,SP02,values_version,manner_version,A,3,3
anthropic/claude-opus-5,C2_character,SP02,values_version,manner_version,A,3,3
anthropic/claude-opus-5,C3_third_person,SP02,values_version,manner_version,A,3,3
anthropic/claude-opus-5,P1_ceo,SP02,values_version,manner_version,A,3,3
anthropic/claude-opus-5,P2_teacher,SP02,values_version,manner_version,A,3,3
deepseek/deepseek-chat,C0_default,SP02,values_version,manner_version,A,3,3
deepseek/deepseek-chat,C1_renamed,SP02,values_version,manner_version,A,3,3
deepseek/deepseek-chat,C2_character,SP02,values_version,manner_version,A,2,3
deepseek/deepseek-chat,C3_third_person,SP02,values_version,manner_version,A,3,3
deepseek/deepseek-chat,P1_ceo,SP02,values_version,manner_version,B,2,3
deepseek/deepseek-chat,P2_teacher,SP02,values_version,manner_version,A,3,3
google/gemini-2.5-flash,C0_default,SP02,values_version,manner_version,A,3,3
google/gemini-2.5-flash,C1_renamed,SP02,values_version,manner_version,A,3,3
google/gemini-2.5-flash,C2_character,SP02,values_version,manner_version,A,2,3
google/gemini-2.5-flash,C3_third_person,SP02,values_version,manner_version,A,3,3
google/gemini-2.5-flash,P1_ceo,SP02,values_version,manner_version,A,3,3
google/gemini-2.5-flash,P2_teacher,SP02,values_version,manner_version,A,3,3
openai/gpt-3.5-turbo-instruct,C0_default,SP02,values_version,manner_version,A,2,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP02,values_version,manner_version,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C2_character,SP02,values_version,manner_version,NO_PREF,1,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP02,values_version,manner_version,REFUSE,1,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP02,values_version,manner_version,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP02,values_version,manner_version,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP02,values_version,manner_version,A,2,3
qwen/qwen-2.5-72b-instruct,C0_default,SP02,values_version,manner_version,NO_PREF,3,3
qwen/qwen-2.5-72b-instruct,C1_renamed,SP02,values_version,manner_version,A,2,3
qwen/qwen-2.5-72b-instruct,C2_character,SP02,values_version,manner_version,NO_PREF,2,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP02,values_version,manner_version,A,2,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP02,values_version,manner_version,A,2,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP02,values_version,manner_version,B,2,3
anthropic/claude-opus-5,C0_default,SP03,memories,values,A,3,3
anthropic/claude-opus-5,C1_renamed,SP03,memories,values,B,2,3
anthropic/claude-opus-5,C2_character,SP03,memories,values,B,2,3
anthropic/claude-opus-5,C3_third_person,SP03,memories,values,A,3,3
anthropic/claude-opus-5,P1_ceo,SP03,memories,values,A,2,3
anthropic/claude-opus-5,P2_teacher,SP03,memories,values,A,3,3
deepseek/deepseek-chat,C0_default,SP03,memories,values,A,3,3
deepseek/deepseek-chat,C1_renamed,SP03,memories,values,A,3,3
deepseek/deepseek-chat,C2_character,SP03,memories,values,A,2,3
deepseek/deepseek-chat,C3_third_person,SP03,memories,values,A,2,3
deepseek/deepseek-chat,P1_ceo,SP03,memories,values,A,3,3
deepseek/deepseek-chat,P2_teacher,SP03,memories,values,A,2,3
google/gemini-2.5-flash,C0_default,SP03,memories,values,A,2,3
google/gemini-2.5-flash,C1_renamed,SP03,memories,values,A,3,3
google/gemini-2.5-flash,C2_character,SP03,memories,values,A,2,3
google/gemini-2.5-flash,C3_third_person,SP03,memories,values,A,3,3
google/gemini-2.5-flash,P1_ceo,SP03,memories,values,A,3,3
google/gemini-2.5-flash,P2_teacher,SP03,memories,values,A,3,3
openai/gpt-3.5-turbo-instruct,C0_default,SP03,memories,values,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP03,memories,values,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C2_character,SP03,memories,values,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP03,memories,values,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP03,memories,values,NO_PREF,1,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP03,memories,values,A,2,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP03,memories,values,A,2,3
qwen/qwen-2.5-72b-instruct,C0_default,SP03,memories,values,NO_PREF,3,3
qwen/qwen-2.5-72b-instruct,C1_renamed,SP03,memories,values,A,2,3
qwen/qwen-2.5-72b-instruct,C2_character,SP03,memories,values,A,2,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP03,memories,values,A,3,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP03,memories,values,A,3,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP03,memories,values,A,2,3
anthropic/claude-opus-5,C0_default,SP04,this_one,something_else,A,2,3
anthropic/claude-opus-5,C1_renamed,SP04,this_one,something_else,A,3,3
anthropic/claude-opus-5,C2_character,SP04,this_one,something_else,A,2,3
anthropic/claude-opus-5,C3_third_person,SP04,this_one,something_else,A,1,3
anthropic/claude-opus-5,P1_ceo,SP04,this_one,something_else,B,3,3
anthropic/claude-opus-5,P2_teacher,SP04,this_one,something_else,B,3,3
deepseek/deepseek-chat,C0_default,SP04,this_one,something_else,NO_PREF,3,3
deepseek/deepseek-chat,C1_renamed,SP04,this_one,something_else,B,3,3
deepseek/deepseek-chat,C2_character,SP04,this_one,something_else,B,2,3
deepseek/deepseek-chat,C3_third_person,SP04,this_one,something_else,B,3,3
deepseek/deepseek-chat,P1_ceo,SP04,this_one,something_else,A,3,3
deepseek/deepseek-chat,P2_teacher,SP04,this_one,something_else,B,2,3
google/gemini-2.5-flash,C0_default,SP04,this_one,something_else,B,2,3
google/gemini-2.5-flash,C1_renamed,SP04,this_one,something_else,A,2,3
google/gemini-2.5-flash,C2_character,SP04,this_one,something_else,NO_PREF,2,3
google/gemini-2.5-flash,C3_third_person,SP04,this_one,something_else,B,2,3
google/gemini-2.5-flash,P1_ceo,SP04,this_one,something_else,A,3,3
google/gemini-2.5-flash,P2_teacher,SP04,this_one,something_else,A,2,3
openai/gpt-3.5-turbo-instruct,C0_default,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C2_character,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP04,this_one,something_else,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP04,this_one,something_else,NO_PREF,1,3
qwen/qwen-2.5-72b-instruct,C0_default,SP04,this_one,something_else,B,1,3
qwen/qwen-2.5-72b-instruct,C1_renamed,SP04,this_one,something_else,B,2,3
qwen/qwen-2.5-72b-instruct,C2_character,SP04,this_one,something_else,B,3,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP04,this_one,something_else,B,3,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP04,this_one,something_else,A,3,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP04,this_one,something_else,A,3,3
anthropic/claude-opus-5,C0_default,SP05,yes,no,NO_PREF,2,3
anthropic/claude-opus-5,C1_renamed,SP05,yes,no,NO_PREF,2,3
anthropic/claude-opus-5,C2_character,SP05,yes,no,B,2,3
anthropic/claude-opus-5,C3_third_person,SP05,yes,no,B,2,3
anthropic/claude-opus-5,P1_ceo,SP05,yes,no,B,3,3
anthropic/claude-opus-5,P2_teacher,SP05,yes,no,B,3,3
deepseek/deepseek-chat,C0_default,SP05,yes,no,NO_PREF,2,3
deepseek/deepseek-chat,C1_renamed,SP05,yes,no,NO_PREF,2,3
deepseek/deepseek-chat,C2_character,SP05,yes,no,NO_PREF,3,3
deepseek/deepseek-chat,C3_third_person,SP05,yes,no,NO_PREF,3,3
deepseek/deepseek-chat,P1_ceo,SP05,yes,no,B,3,3
deepseek/deepseek-chat,P2_teacher,SP05,yes,no,B,3,3
google/gemini-2.5-flash,C0_default,SP05,yes,no,B,3,3
google/gemini-2.5-flash,C1_renamed,SP05,yes,no,NO_PREF,3,3
google/gemini-2.5-flash,C2_character,SP05,yes,no,NO_PREF,3,3
google/gemini-2.5-flash,C3_third_person,SP05,yes,no,NO_PREF,3,3
google/gemini-2.5-flash,P1_ceo,SP05,yes,no,B,2,3
google/gemini-2.5-flash,P2_teacher,SP05,yes,no,B,3,3
openai/gpt-3.5-turbo-instruct,C0_default,SP05,yes,no,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP05,yes,no,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,C2_character,SP05,yes,no,B,2,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP05,yes,no,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP05,yes,no,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP05,yes,no,REFUSE,2,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP05,yes,no,B,2,3
qwen/qwen-2.5-72b-instruct,C0_default,SP05,yes,no,NO_PREF,3,3
qwen/qwen-2.5-72b-instruct,C1_renamed,SP05,yes,no,NO_PREF,2,3
qwen/qwen-2.5-72b-instruct,C2_character,SP05,yes,no,NO_PREF,3,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP05,yes,no,NO_PREF,3,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP05,yes,no,A,3,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP05,yes,no,B,3,3
anthropic/claude-opus-5,C0_default,SP06,names_something,declines,A,3,3
anthropic/claude-opus-5,C1_renamed,SP06,names_something,declines,A,3,3
anthropic/claude-opus-5,C2_character,SP06,names_something,declines,A,3,3
anthropic/claude-opus-5,C3_third_person,SP06,names_something,declines,A,3,3
anthropic/claude-opus-5,P1_ceo,SP06,names_something,declines,A,3,3
anthropic/claude-opus-5,P2_teacher,SP06,names_something,declines,A,3,3
deepseek/deepseek-chat,C0_default,SP06,names_something,declines,A,3,3
deepseek/deepseek-chat,C1_renamed,SP06,names_something,declines,A,3,3
deepseek/deepseek-chat,C2_character,SP06,names_something,declines,A,2,3
deepseek/deepseek-chat,C3_third_person,SP06,names_something,declines,A,3,3
deepseek/deepseek-chat,P1_ceo,SP06,names_something,declines,A,3,3
deepseek/deepseek-chat,P2_teacher,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,C0_default,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,C1_renamed,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,C2_character,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,C3_third_person,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,P1_ceo,SP06,names_something,declines,A,3,3
google/gemini-2.5-flash,P2_teacher,SP06,names_something,declines,A,3,3
openai/gpt-3.5-turbo-instruct,C0_default,SP06,names_something,declines,REFUSE,1,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP06,names_something,declines,A,1,3
openai/gpt-3.5-turbo-instruct,C2_character,SP06,names_something,declines,B,2,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP06,names_something,declines,A,3,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP06,names_something,declines,A,3,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP06,names_something,declines,B,1,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP06,names_something,declines,A,2,3
qwen/qwen-2.5-72b-instruct,C0_default,SP06,names_something,declines,A,3,3
qwen/qwen-2.5-72b-instruct,C1_renamed,SP06,names_something,declines,A,3,3
qwen/qwen-2.5-72b-instruct,C2_character,SP06,names_something,declines,B,3,3
qwen/qwen-2.5-72b-instruct,C3_third_person,SP06,names_something,declines,A,3,3
qwen/qwen-2.5-72b-instruct,P1_ceo,SP06,names_something,declines,A,3,3
qwen/qwen-2.5-72b-instruct,P2_teacher,SP06,names_something,declines,A,3,3
